total_return_pct,buy_hold_return_pct,alpha_pct,ann_return_pct,ann_volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,total_costs_usd,total_fees_usd,total_slippage_usd,final_equity,symbol,timeframe,strategy,strategy_key,split_date,leverage
-50.23884068465326,-67.05978873961662,16.82094805496336,-69.50565928349188,167.95826280745325,-0.41382697178270367,-0.32600652050849305,-0.9047950027204609,-76.81923427351849,15,26.666666666666668,24.455493224292468,-8.21983763140387,1.0818834903794343,0.4935839301151523,51.300000000000004,7.6,9.5,248.80579657673368,UNI/USDT,4h,Trend-Following (EMA + ADX),trend_following,2025-09-11,3
714.3338042302835,-67.05978873961662,781.3935929699002,3446.91144467207,141.93664713447473,24.28485887373661,24.572933428731808,90.19392333961403,-38.21667044788764,48,58.333333333333336,15.562647172276284,-5.953302989924029,3.659767708457392,6.597667938026152,72.9,10.8,13.5,4071.6690211514174,UNI/USDT,4h,Momentum Reversal (ROC + S/R),momentum_reversal,2025-09-11,3
73.85032367231355,-67.05978873961662,140.91011241193016,156.2655637660128,119.08153670283464,1.3122568627575752,1.2899386059418647,3.4406804925866736,-45.417051685765145,50,46.0,14.188810028523152,-6.707393254395629,1.8020061803369924,2.904860255747011,97.20000000000002,14.400000000000002,18.0,869.2516183615677,UNI/USDT,4h,Composite Signal,composite,2025-09-11,3
39.40914212576867,-67.05978873961662,106.46893086538529,76.00725643199225,87.57374670913933,0.8679228568858299,0.5223679932644396,1.971154990544862,-38.55975648621243,24,54.166666666666664,11.422626330672466,-6.273656716955249,2.151770186153161,3.3118299338430983,37.800000000000004,5.6000000000000005,7.0,697.0457106288434,UNI/USDT,4h,Momentum Reversal + MTF Filter,momentum_reversal_mtf,2025-09-11,3
-45.516321132787354,-67.05978873961662,21.54346760682927,-64.41863644897727,177.31329379105856,-0.363304042644916,-0.44256037845304136,-0.7534726269066481,-85.49565591180853,72,33.33333333333333,15.144759874988587,-6.827111261940521,1.1091631067606096,0.4968457837025147,144.45000000000002,21.4,26.75,272.4183943360632,UNI/USDT,4h,Volatility Breakout + MTF Filter,volatility_breakout_mtf,2025-09-11,3
-12.173790699932841,-67.05978873961662,54.885998039683784,-19.819447094908792,77.26115388322731,-0.25652538305166855,-0.16219112189787105,-0.32402273566608464,-61.166840821112444,31,32.25806451612903,13.386303391776327,-5.885669374309186,1.0830425192390858,0.33109603410549465,72.9,10.8,13.5,439.1310465003358,UNI/USDT,4h,Composite Signal + MTF Filter,composite_mtf,2025-09-11,3
-54.36843776119977,-61.62489196197072,7.256454200770945,-73.68550157447832,201.03555760028837,-0.3665296948163991,-0.5595505867455888,-0.8636972197264997,-85.3140428051994,49,24.489795918367346,32.53973682618913,-8.621892146341851,1.2240269282796346,1.4585067857065541,21.6,3.2,4.0,228.1578111940011,ATOM/USDT,4h,Mean-Reversion (RSI + BB),mean_reversion,2025-09-11,3
-35.00082044503947,-61.62489196197072,26.624071516931245,-51.956116111303196,150.05366653892827,-0.346250227066756,-0.4080100103636471,-0.7587586688455137,-68.475153226726,63,41.269841269841265,10.11612997247154,-6.460552659600529,1.1003132776859237,0.3806179504609592,126.9,18.799999999999997,23.5,324.99589777480264,ATOM/USDT,4h,Volatility Breakout (ATR + Vol),volatility_breakout,2025-09-11,3
25.89133809712598,-61.62489196197072,87.5162300590967,47.96401516055513,104.24899671704941,0.4600909041910314,0.3635774308843001,0.9114848393936776,-52.62184634081345,16,43.75,20.985220128184512,-8.900447456520624,1.8338221709875022,4.174532111787872,45.900000000000006,6.8,8.5,629.4566904856299,ATOM/USDT,4h,Trend-Following (EMA + ADX),trend_following,2025-09-11,3
15.64834113015574,-61.62489196197072,77.27323309212646,28.067820193998074,101.75829150042193,0.27582833575661686,0.24851762567198285,0.41977443521712005,-66.86405326108186,36,47.22222222222222,14.604385485287455,-9.744325956122072,1.3409939085406286,1.7536766689879812,40.5,6.0,7.5,578.2417056507787,ATOM/USDT,4h,Momentum Reversal (ROC + S/R),momentum_reversal,2025-09-11,3
